,Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
2112,2135.0,YORKWOOD S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,MAPLEWOOD,3/9/1990 ,RTC,30398.0,ACQUISITION,191301,205283.0,53166.0
2113,7260.0,PEOPLES FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,BARTLESVILLE,3/9/1990 ,RTC,30267.0,TRANSFER,91019,105531.0,10841.0
2114,7141.0,WESTPORT FEDERAL SAVINGS BANK,SAVINGS ASSOCIATION,FEDERAL/STATE,HANFORD,3/9/1990 ,RTC,31965.0,PAYOUT,171548,169635.0,27717.0
2115,7314.0,INVESTORS SAVINGS BANK,SAVINGS BANK,STATE,NASHVILLE,3/9/1990 ,RTC,31873.0,ACQUISITION,65839,81110.0,16078.0
2116,4164.0,BANK OF MEEKER,COMMERCIAL BANK,STATE,MEEKER,3/15/1990 ,BIF,9880.0,ACQUISITION,15503,15529.0,3756.0
2117,4165.0,LIBERTY CITY STATE BANK,COMMERCIAL BANK,STATE,LIBERTY CITY,3/15/1990 ,BIF,23065.0,ACQUISITION,15004,15189.0,1541.0
2118,4166.0,INDEPENDENT NATIONAL BANK,COMMERCIAL BANK,FEDERAL,PHOENIX,3/15/1990 ,BIF,25649.0,ACQUISITION,13523,12417.0,3243.0
2119,7256.0,GREAT AMERICAN FS & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,CORINTH,3/16/1990 ,RTC,31828.0,PAYOUT,133163,159235.0,29833.0
2120,7110.0,SUN FEDERAL SAVINGS ASSOC.,SAVINGS BANK,STATE,FORT DODGE,3/16/1990 ,RTC,31547.0,ACQUISITION,18967,24299.0,1832.0
2121,7221.0,WHITESTONE SAVINGS,SAVINGS ASSOCIATION,FEDERAL/STATE,WHITESTONE,3/16/1990 ,RTC,30194.0,ACQUISITION,352700,396946.0,36506.0
2122,7356.0,PACIFIC COAST S & LA,SAVINGS ASSOCIATION,FEDERAL/STATE,SAN FRANCISCO,3/16/1990 ,RTC,32097.0,ACQUISITION,633168,1040267.0,55672.0
2123,7145.0,LAKELAND SAVINGS BANK FSB,SAVINGS BANK,STATE,DETROIT LAKES,3/16/1990 ,RTC,29137.0,TRANSFER,80645,79624.0,24793.0
2124,7311.0,FIRST FS & LA OF WICHITA FALLS,SAVINGS ASSOCIATION,FEDERAL/STATE,WICHITA FALLS,3/16/1990 ,RTC,29403.0,PAYOUT,88145,84836.0,17125.0
2125,7191.0,"UNITED FEDERAL SAVINGS, FA",SAVINGS ASSOCIATION,FEDERAL/STATE,NEW ORLEANS,3/16/1990 ,RTC,31455.0,TRANSFER,43923,53244.0,16516.0
2126,7441.0,FIRST AMERICA FSB,SAVINGS BANK,STATE,LONGMONT,3/16/1990 ,RTC,32330.0,PAYOUT,146818,187366.0,41293.0
2127,7220.0,NASAU FEDERAL SAVINGS & LOAN,SAVINGS ASSOCIATION,FEDERAL/STATE,BROOKLYN,3/16/1990 ,RTC,29122.0,ACQUISITION,300473,296815.0,60274.0
2128,4171.0,THE CENTRAL NATIONAL BANK OF SAN ANGELO,COMMERCIAL BANK,FEDERAL,SAN ANGELO,3/22/1990 ,BIF,5507.0,ACQUISITION,148163,147449.0,45132.0
2129,4168.0,COMMUNITY BANK,COMMERCIAL BANK,STATE,NEW CANEY,3/22/1990 ,BIF,19602.0,ACQUISITION,42089,41952.0,7459.0
2130,4169.0,AMERICAN BANK OF ARLINGTON,COMMERCIAL BANK,STATE,ARLINGTON,3/22/1990 ,BIF,22829.0,ACQUISITION,28823,28327.0,4391.0
2131,4170.0,"THE WALLER BANK, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,WALLER,3/22/1990 ,BIF,26353.0,ACQUISITION,13677,13354.0,3460.0
2132,4167.0,MIAMI NATIONAL BANK,COMMERCIAL BANK,FEDERAL,MIAMI,3/22/1990 ,BIF,17665.0,ACQUISITION,45124,46399.0,5254.0
2133,4174.0,"CROWN BANK, NATIONAL ASSOCIATION",COMMERCIAL BANK,FEDERAL,SAN ANTONIO,3/29/1990 ,BIF,26648.0,ACQUISITION,21927,22767.0,3217.0
2134,4173.0,FIRST NATIONAL BANK OF GARLAND,COMMERCIAL BANK,FEDERAL,GARLAND,3/29/1990 ,BIF,24014.0,ACQUISITION,10071,9394.0,2307.0
2135,4172.0,ALVORD NATIONAL BANK,COMMERCIAL BANK,FEDERAL,ALVORD,3/29/1990 ,BIF,3071.0,ACQUISITION,7663,7616.0,496.0
2136,4176.0,IMPERIAL BANK,COMMERCIAL BANK,STATE,CORAL GABLES,3/30/1990 ,BIF,26469.0,ACQUISITION,23983,23166.0,5070.0
2137,4175.0,EVERMAN NATIONAL BANK OF FORT WORTH,COMMERCIAL BANK,FEDERAL,FORT WORTH,3/30/1990 ,BIF,18840.0,ACQUISITION,65547,65941.0,11444.0
2138,4177.0,FIRST BANK & TRUST COMPANY,COMMERCIAL BANK,STATE,CEDAR HILL,4/5/1990 ,BIF,18793.0,ACQUISITION,13101,13788.0,1664.0
